class,filename,width,height,path,aspect_ratio
battery,battery1.jpg,280,180,data\raw\garbage-classification\battery\battery1.jpg,1.5555555555555556
battery,battery10.jpg,220,165,data\raw\garbage-classification\battery\battery10.jpg,1.3333333333333333
battery,battery100.jpg,275,183,data\raw\garbage-classification\battery\battery100.jpg,1.5027322404371584
battery,battery101.jpg,275,183,data\raw\garbage-classification\battery\battery101.jpg,1.5027322404371584
battery,battery102.jpg,224,224,data\raw\garbage-classification\battery\battery102.jpg,1.0
battery,battery103.jpg,268,188,data\raw\garbage-classification\battery\battery103.jpg,1.425531914893617
battery,battery104.jpg,256,197,data\raw\garbage-classification\battery\battery104.jpg,1.299492385786802
battery,battery105.jpg,456,110,data\raw\garbage-classification\battery\battery105.jpg,4.1454545454545455
battery,battery106.jpg,200,252,data\raw\garbage-classification\battery\battery106.jpg,0.7936507936507936
battery,battery107.jpg,225,225,data\raw\garbage-classification\battery\battery107.jpg,1.0
battery,battery108.jpg,200,167,data\raw\garbage-classification\battery\battery108.jpg,1.1976047904191616
battery,battery109.jpg,225,225,data\raw\garbage-classification\battery\battery109.jpg,1.0
battery,battery11.jpg,224,224,data\raw\garbage-classification\battery\battery11.jpg,1.0
battery,battery110.jpg,225,225,data\raw\garbage-classification\battery\battery110.jpg,1.0
battery,battery111.jpg,300,168,data\raw\garbage-classification\battery\battery111.jpg,1.7857142857142858
battery,battery112.jpg,275,183,data\raw\garbage-classification\battery\battery112.jpg,1.5027322404371584
battery,battery113.jpg,251,201,data\raw\garbage-classification\battery\battery113.jpg,1.2487562189054726
battery,battery114.jpg,204,248,data\raw\garbage-classification\battery\battery114.jpg,0.8225806451612904
battery,battery115.jpg,225,225,data\raw\garbage-classification\battery\battery115.jpg,1.0
battery,battery116.jpg,259,194,data\raw\garbage-classification\battery\battery116.jpg,1.3350515463917525
battery,battery117.jpg,225,225,data\raw\garbage-classification\battery\battery117.jpg,1.0
battery,battery118.jpg,225,225,data\raw\garbage-classification\battery\battery118.jpg,1.0
battery,battery119.jpg,225,225,data\raw\garbage-classification\battery\battery119.jpg,1.0
battery,battery12.jpg,275,183,data\raw\garbage-classification\battery\battery12.jpg,1.5027322404371584
battery,battery120.jpg,225,225,data\raw\garbage-classification\battery\battery120.jpg,1.0
battery,battery121.jpg,225,225,data\raw\garbage-classification\battery\battery121.jpg,1.0
battery,battery122.jpg,280,180,data\raw\garbage-classification\battery\battery122.jpg,1.5555555555555556
battery,battery123.jpg,275,183,data\raw\garbage-classification\battery\battery123.jpg,1.5027322404371584
battery,battery124.jpg,322,156,data\raw\garbage-classification\battery\battery124.jpg,2.0641025641025643
battery,battery125.jpg,225,225,data\raw\garbage-classification\battery\battery125.jpg,1.0
battery,battery126.jpg,225,225,data\raw\garbage-classification\battery\battery126.jpg,1.0
battery,battery127.jpg,258,195,data\raw\garbage-classification\battery\battery127.jpg,1.323076923076923
battery,battery128.jpg,275,183,data\raw\garbage-classification\battery\battery128.jpg,1.5027322404371584
battery,battery129.jpg,259,194,data\raw\garbage-classification\battery\battery129.jpg,1.3350515463917525
battery,battery13.jpg,268,188,data\raw\garbage-classification\battery\battery13.jpg,1.425531914893617
battery,battery130.jpg,225,225,data\raw\garbage-classification\battery\battery130.jpg,1.0
battery,battery131.jpg,225,225,data\raw\garbage-classification\battery\battery131.jpg,1.0
battery,battery132.jpg,225,225,data\raw\garbage-classification\battery\battery132.jpg,1.0
battery,battery133.jpg,275,183,data\raw\garbage-classification\battery\battery133.jpg,1.5027322404371584
battery,battery134.jpg,225,225,data\raw\garbage-classification\battery\battery134.jpg,1.0
battery,battery135.jpg,225,225,data\raw\garbage-classification\battery\battery135.jpg,1.0
battery,battery136.jpg,225,225,data\raw\garbage-classification\battery\battery136.jpg,1.0
battery,battery137.jpg,168,301,data\raw\garbage-classification\battery\battery137.jpg,0.5581395348837209
battery,battery138.jpg,259,194,data\raw\garbage-classification\battery\battery138.jpg,1.3350515463917525
battery,battery139.jpg,225,225,data\raw\garbage-classification\battery\battery139.jpg,1.0
battery,battery14.jpg,225,225,data\raw\garbage-classification\battery\battery14.jpg,1.0
battery,battery140.jpg,225,225,data\raw\garbage-classification\battery\battery140.jpg,1.0
battery,battery141.jpg,225,225,data\raw\garbage-classification\battery\battery141.jpg,1.0
battery,battery142.jpg,225,225,data\raw\garbage-classification\battery\battery142.jpg,1.0
