,precision,recall,f1-score,support
battery,0.676056338028169,0.676056338028169,0.676056338028169,142.0
biological,0.6836158192090396,0.8175675675675675,0.7446153846153846,148.0
brown-glass,0.6608695652173913,0.8351648351648352,0.7378640776699029,91.0
cardboard,0.7051282051282052,0.8208955223880597,0.7586206896551724,134.0
clothes,0.9490254872563718,0.7922403003754693,0.8635743519781719,799.0
green-glass,0.6571428571428571,0.9787234042553191,0.7863247863247863,94.0
metal,0.5701754385964912,0.5652173913043478,0.5676855895196506,115.0
paper,0.6967741935483871,0.6835443037974683,0.6900958466453674,158.0
plastic,0.584,0.5615384615384615,0.5725490196078431,130.0
shoes,0.7238805970149254,0.6531986531986532,0.6867256637168142,297.0
trash,0.5960264900662252,0.8653846153846154,0.7058823529411765,104.0
white-glass,0.6186440677966102,0.6293103448275862,0.6239316239316239,116.0
accuracy,0.7435567010309279,0.7435567010309279,0.7435567010309279,0.7435567010309279
macro avg,0.676778254917056,0.739903478152546,0.7011604770528385,2328.0
weighted avg,0.761240011262087,0.7435567010309279,0.746310151146698,2328.0
