actual_class,predicted_class,count
clothes,shoes,40
clothes,cardboard,30
clothes,biological,23
plastic,trash,17
shoes,battery,17
shoes,brown-glass,16
shoes,clothes,16
white-glass,plastic,14
shoes,biological,13
clothes,paper,13
white-glass,trash,13
clothes,plastic,12
metal,white-glass,12
plastic,paper,11
battery,shoes,11
biological,green-glass,10
metal,battery,10
clothes,trash,10
clothes,white-glass,9
shoes,metal,9
clothes,metal,9
shoes,cardboard,8
plastic,metal,8
clothes,green-glass,8
plastic,white-glass,8
battery,green-glass,8
paper,shoes,8
shoes,trash,8
battery,clothes,8
paper,white-glass,7
biological,brown-glass,7
shoes,paper,7
shoes,green-glass,6
clothes,battery,6
clothes,brown-glass,6
paper,battery,6
paper,biological,6
paper,metal,6
battery,metal,5
battery,plastic,5
cardboard,white-glass,5
cardboard,plastic,5
trash,plastic,5
plastic,battery,5
paper,green-glass,5
metal,paper,5
white-glass,paper,5
metal,biological,4
white-glass,metal,4
paper,plastic,4
paper,brown-glass,4
metal,plastic,4
metal,clothes,4
brown-glass,metal,4
brown-glass,biological,4
battery,trash,4
metal,shoes,3
biological,shoes,3
cardboard,trash,3
brown-glass,green-glass,3
metal,brown-glass,3
metal,green-glass,3
cardboard,metal,2
cardboard,biological,2
biological,trash,2
battery,white-glass,2
brown-glass,shoes,2
cardboard,shoes,2
biological,clothes,2
cardboard,brown-glass,2
cardboard,paper,2
white-glass,green-glass,2
trash,clothes,2
trash,metal,2
white-glass,cardboard,2
white-glass,shoes,2
paper,cardboard,2
plastic,green-glass,2
plastic,cardboard,2
paper,trash,2
metal,trash,2
plastic,shoes,2
shoes,plastic,2
battery,brown-glass,1
brown-glass,paper,1
battery,cardboard,1
battery,paper,1
cardboard,clothes,1
biological,paper,1
brown-glass,battery,1
biological,battery,1
biological,cardboard,1
plastic,biological,1
green-glass,plastic,1
green-glass,biological,1
plastic,clothes,1
shoes,white-glass,1
trash,white-glass,1
trash,green-glass,1
trash,biological,1
trash,shoes,1
trash,paper,1
white-glass,biological,1
